id,best_position
0,[ 1.01516926 -0.37272991  0.95821546  1.40112638 35.76537507  0.98419938]
1,[ 0.3021804  -0.11667205  1.0190989   1.37967561 40.14961884  0.96930755]
2,[ 0.22543352  3.70370751  1.01499823  5.18004966 43.35526274  0.92687826]
3,[ 0.49575462  3.05248369  1.01428776  4.4202872  43.46462841  0.92662672]
4,[ 4.87719508 66.23923241  0.90545747  0.28233672  3.20867035  1.01202874]
5,[10.78005683 32.63866374  0.88661365  4.98531041  0.74011308  0.98208189]
6,[ 1.95384537 27.03773559  0.96595917 -0.46263163  1.6938885   1.02263547]
7,[ 1.14288234 25.47317932  0.98707909  0.03213833  0.43150003  1.02216027]
8,[ 4.94217532  8.32829923  0.92578917  1.63445154 78.48101332  0.93243776]
9,[ 5.11596197 27.64639784  0.9492688   5.46485053  3.68857385  0.98440402]
10,[51.09670548 10.49218716  0.89931335  0.98050026  0.15613652  1.01350985]
11,[ 1.06385837  0.08044258  1.01318898 59.13173884  5.66698174  0.91903656]
12,[-0.17203306  1.25021762  1.00174683 55.2333392   2.39608641  0.98118365]
13,[44.08171601  0.101864    1.01155898  0.34361945  3.37373051  0.97006301]
14,[46.24660844  0.25553794  0.98984306  1.47619253  0.28944219  0.99673844]
15,[ 0.12633099  0.37109733  1.02772015 22.12768079  1.2703864   0.97789913]
16,[ 1.06133981  2.46754663  0.97525646 22.25965779  0.85847811  0.98191259]
17,[-0.17375704  2.45485216  0.97626754 23.43428782  3.97004631  0.95512298]
18,[ 1.88948756  0.4332695   1.02508162 23.37196455  7.11188548  0.93244283]
19,[ 2.52871743 -0.16219317  1.02565872 26.20999809  7.18684213  0.92779545]
20,[ 0.4024829   0.3254032   1.01632267 38.05025098  0.60497302  0.99123518]
21,[ 0.1351336   3.16985511  0.96643487 35.54112786  0.16407219  1.0123836 ]
22,[63.95256993  2.4670374   0.97530172  0.13063467 -0.0942054   1.01367504]
23,"[ 4.00435425e-01 -2.52530629e-02  9.83273903e-01  3.60163432e+01
  3.97826353e-01  1.00827560e+00]"
24,[ 0.06847084  4.09933279  0.95648021 34.88986631  0.46597054  1.02447595]
25,"[24.49165429  0.62318734  0.99009029  6.99668393  5.44971063  1.03190666
  0.17553238  5.17002322  0.94377084]"
26,"[27.3185846   4.89046565  0.9538963   9.20443419  0.10735957  1.09497466
  1.94794014 14.3369546   0.93334086]"
27,"[-7.00526723e-03  1.12431948e+01  8.89083194e-01  6.77819584e+01
  1.23411895e-01  1.22219565e+00  8.93310044e+01  3.82281675e-01
  1.21484876e+00]"
28,"[24.38468761  1.01032975  0.98708052  0.42454162  8.48487498  1.04323917
 17.22514252 12.04676877  0.95351764]"
29,"[ 0.47289316  0.35539633  1.02037433 85.41687791  3.0664169   0.96732061
 79.43604652 15.38978079  0.85223703]"
30,"[ -0.39792582  71.48193209   1.09873084   9.02902897   0.87048853
   0.93948632  63.41822514 100.02375207   0.41124105]"
31,"[-0.14812053  8.26841936  1.06358684  2.58260309 36.42281763  0.9649869
 94.28709191  0.11352291  0.25457432]"
32,"[ 2.41780104 70.54795456  1.09886627  5.05391478 -0.24819875  0.96187211
  0.23730434 39.64018786  0.81577279]"
33,"[ 0.08210037  1.24709048  1.13488301  9.48049274 31.15283408  0.93186155
  5.34630147 31.25092469  1.25422617]"
34,"[ 0.43992003  0.27130107  1.02279584  1.44055485 27.42557701  0.99531884
 18.73088572 11.32176647  0.26337461]"
35,"[61.4147048   3.93328884  0.96488846 36.22337734 -0.22514717  0.47226618
  0.2771922  10.22813137  1.15192278]"
